Phylum,Class,Order,Family,Genus,S1,S2,S3,S4,S5,S6,MOsof,MOtun,MOexo,MOcru,MOcus,MOsta,L1,L2,L3,L4,EDasx,EDsxpl,EDsxbe,EDsxbr,LDpk,LDlc,LDdi,LHtub,LHbur,LHfre,LHcre,LHepi,LHatt,Sd0,Sd1,Sd2,Sd3,Fspf,Fsdf,Fssf,Fsca,Fprd,Fpar,M1,M4,M3,M2,Rdif,Rsrf,Rup,Rdow,Rno
Annelida,Clitellata,Enchytraeida,Enchytraeidae,Grania,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0
Annelida,Clitellata,Haplotaxida,Naididae,Tubificoides,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0
Annelida,Polychaeta,Amphinomida,Amphinomidae,Linopherus,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,3,3,0,0,1,1,1,1,1,0,0,0
Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,1,0,0,3,0,0,0,1,3,0,0,0,0,0,3,3,0,0,1,3,3,3,1,0,0,0
Annelida,Polychaeta,Amphinomida,Amphinomidae,Pareurythoe,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,1,0,0,3,3,0,0,3,1,0,0,0,0,0,3,3,0,0,1,3,1,1,1,0,0,0
Annelida,Polychaeta,Amphinomida,Amphinomidae,,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0,3,1,0,1,0,0,3,1,0,0,1,1,0,0,0,0,0,3,3,0,0,1,1,1,1,1,0,0,0
Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,3,1,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0
Annelida,Polychaeta,Echiuroidea,Bonelliidae,Maxmuelleria,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0
Annelida,Polychaeta,Echiuroidea,Echiuridae,Echiurus,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,1,0,3,0
Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,1,1,0,1,0,3,3,3,0,3,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,0
Annelida,Polychaeta,Eunicida,Dorvilleidae,Ophryotrocha,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,0,0
Annelida,Polychaeta,Eunicida,Dorvilleidae,Parougia,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,1,1,1,1,0,0,0
Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,1,0,3,3,3,0,3,2,0,0,0,0,0,2,3,0,0,0,1,3,3,1,0,0,0
Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,3,3,3,0,1,1,0,0,0,2,0,1,1,0,0,0,1,1,1,1,0,0,0
Annelida,Polychaeta,Eunicida,Dorvilleidae,,1,1,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,3,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,1,3,3,3,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,3,3,3,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,0,0,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,0,3,1,3,3,3,0,1,1,1,1,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0
Annelida,Polychaeta,Eunicida,Eunicidae,,0,0,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,3,3,3,0,1,1,1,1,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0
Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,3,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0
Annelida,Polychaeta,Eunicida,Lumbrineridae,Hilbigneris,0,0,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,3,1,1,0,0,1,1,1,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0
Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrinerides,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1,3,0,0,0,0,1,1,1,0,0,1,2,2,0,0,0,0,1,2,0,0,0,0
Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineriopsis,0,3,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,1,3,0,3,0,0,1,1,1,0,0,1,2,2,0,0,0,0,1,2,0,0,0,0
Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,0,0,1,1,1,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,1,3,3,3,0,1,3,1,3,0,1,1,2,2,0,0,0,0,3,3,0,0,0,0
Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,3,0,0,1,3,0,3,0,0,1,1,1,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0
Annelida,Polychaeta,Eunicida,Lumbrineridae,,0,1,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,3,1,1,0,1,1,1,1,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0
Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,3,3,0,1,1,1,3,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0
